Tanggal,Actual,Forecast_ARIMAX
2025-10-01,16605.0,16660.733543390776
2025-10-02,16585.0,16662.188133467596
2025-10-03,16535.0,16662.070133275436
2025-10-06,16550.0,16662.03361855016
2025-10-07,16540.0,16663.364881284673
2025-10-08,16560.0,16663.736958144837
2025-10-09,16545.0,16666.487271237005
2025-10-10,16550.0,16671.128950223225
2025-10-13,16560.0,16671.811613820548
2025-10-14,16575.0,16674.45175909105
2025-10-15,16565.0,16676.51350990928
2025-10-16,16570.0,16679.051571771954
2025-10-17,16580.0,16680.20015255316
2025-10-20,16575.0,16682.172219361764
2025-10-21,16590.0,16683.42378137442
2025-10-22,16575.0,16683.324377099816
2025-10-23,16620.0,16680.831825094832
2025-10-24,16595.0,16682.39218871189
2025-10-27,16615.0,16683.29636640965
2025-10-28,16605.0,16686.310633219542
2025-10-29,16615.0,16687.086147111175
2025-10-30,16640.0,16688.42778245806
2025-10-31,16630.0,16689.78228420765
2025-11-03,16655.0,16691.458445867956
2025-11-04,16697.0,16693.482000230128
2025-11-05,16705.0,16696.1102752202
2025-11-06,16694.0,16697.734971296617
2025-11-07,16684.5,16698.857877916194
2025-11-10,16650.0,16699.74918940184
2025-11-11,16685.0,16699.778452333336
2025-11-12,16697.0,16704.375285962222
2025-11-13,16725.0,16705.43386060018
2025-11-14,16694.0,16705.102864434422
2025-11-17,16725.0,16707.35801393113
2025-11-18,16740.0,16707.940531904853
2025-11-19,16692.5,16711.224993108015
2025-11-20,16730.0,16712.926887562506
2025-11-21,16694.0,16715.477964174817
2025-11-24,16692.5,16715.082636027408
2025-11-25,16660.0,16717.672311828715
2025-11-26,16660.0,16718.280562595097
2025-11-27,16640.0,16719.45493480003
2025-11-28,16655.0,16721.079630876535
2025-12-01,16655.0,16722.562796593404
2025-12-02,16620.0,16724.93374365709
2025-12-03,16620.0,16726.09524946569
2025-12-04,16645.0,16726.78069861006
2025-12-05,16640.0,16727.594811717732
2025-12-08,16690.0,16730.660544183273
2025-12-09,16665.0,16732.812762509333
2025-12-10,16685.0,16733.909936336284
2025-12-11,16670.0,16736.55107772291
2025-12-12,16640.0,16738.20150659208
2025-12-15,16665.0,16740.366591314472
2025-12-16,16690.0,16743.92124684058
2025-12-17,16685.0,16744.387967247323
2025-12-18,16715.0,16745.65240422657
2025-12-19,16740.0,16746.26065499295
2025-12-22,16770.0,16746.277051528126
2025-12-23,16770.0,16747.34849256241
2025-12-24,16755.0,16748.8831238646
2025-12-26,16755.0,16751.820192366835
2025-12-29,16785.0,16751.592127371725
2025-12-30,16760.0,16753.062426692264
2025-12-31,16675.0,16755.88369762752
